Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
70329,Aft Kallang Way 2,1.32229748,103.8768268,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70341,Tannery Blk,1.326264713,103.8749038,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70349,Bef Lor Bakar Batu,1.325984931,103.8744747,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70359,Aft Kallang Sector,1.327688121,103.8725689,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70361,BEF GENTING LK,1.328599722,103.8734622,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70371,Macpherson Stn Exit A,1.326232889,103.8893233,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70379,Opp Macpherson Stn Exit A,1.326042941,103.8893398,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70401,BEF UBI RD 4,1.330882301,103.8981156,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
70409,BLK 3032A,1.330946546,103.8978991,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
71011,Aft Paya Lebar Rd,1.334116882,103.8905439,8,TAI SENG,HGSZ08,HOUGANG,HG,NORTH-EAST REGION,NER
