Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
78049,Blk 612,1.374462782,103.9418058,2,PASIR RIS WEST,PRSZ02,PASIR RIS,PR,EAST REGION,ER
78051,Blk 197,1.366253108,103.9611812,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78059,Blk 210,1.366776068,103.9611374,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78061,Blk 104,1.368243612,103.9584812,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78069,Blk 442,1.368691685,103.9581584,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78071,Blk 446,1.370311632,103.9571801,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78079,Blk 429,1.369950484,103.9569141,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78081,Blk 467,1.373688035,103.956356,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78089,Blk 405,1.373611419,103.9560887,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78091,Opp Downtown East,1.376816179,103.9562471,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78099,Aft Loyang Gdns,1.377406601,103.957088,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78101,Opp Downtown East,1.375066444,103.954048,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78109,Downtown East,1.375333227,103.9538814,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78111,Blk 479,1.375457812,103.9579863,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
78119,Opp Blk 479,1.37568,103.9579661,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78121,Bet Blks 232/233,1.374859688,103.9620005,5,PASIR RIS DRIVE,PRSZ05,PASIR RIS,PR,EAST REGION,ER
