"","V1","V2"
"247","HGSZ07","3"
"248","JWSZ01","8"
"249","MPSZ03","4"
"250","PRSZ02","6"
"251","TPSZ05","5"
"252","YSSZ09","7"
"253","BTSZ04","2"
"254","CKSZ02","11"
"255","CLSZ06","2"
"256","HGSZ10","6"
"257","PRSZ05","6"
"258","OTSZ03","1"
"259","AMSZ02","9"
"260","BMSZ07","1"
"261","MDSZ01","7"
"262","JESZ03","2"
"263","BKSZ02","2"
"264","JWSZ07","8"
"265","HGSZ05","3"
"266","SLSZ01","3"
"267","SLSZ04","3"
"268","PLSZ01","6"
"269","TSSZ01","13"
"270","CKSZ05","11"
"271","JWSZ05","8"
"272","LKSZ01","11"
"273","SGSZ03","3"
"274","JWSZ08","8"
"275","NTSZ06","11"
"276","QTSZ14","1"
"277","PLSZ04","4"
"278","PNSZ04","13"
"279","DTSZ07","1"
"280","SBSZ01","7"
"281","SKSZ04","10"
"282","CLSZ02","2"
"283","ORSZ01","1"
"284","TSSZ05","12"
"285","SBSZ07","7"
"286","CLSZ09","2"
"287","WDSZ07","10"
"288","TPSZ06","5"
"289","SGSZ01","3"
"290","MDSZ02","7"
"291","MDSZ03","7"
"292","WCSZ01","8"
"293","NTSZ01","1"
"294","BKSZ06","2"
"295","SKSZ05","10"
"296","MSSZ01","1"
"297","BLSZ04","8"
"298","BLSZ03","8"
"299","SBSZ08","7"
"300","CKSZ04","11"
"301","PNSZ05","13"
"302","TSSZ06","12"
"303","TSSZ04","12"
