"","ORIGIN_SUB_C","ORIGIN_SUB_N","DESTINATION_SUB_C","DESTINATION_SUB_N","TOTAL_TRIPS"
"21","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",32395
"157","AMSZ02","CHENG SAN","AMSZ01","ANG MO KIO TOWN CENTRE",98692
"304","AMSZ03","CHONG BOON","AMSZ01","ANG MO KIO TOWN CENTRE",182765
"414","AMSZ04","TOWNSVILLE","AMSZ01","ANG MO KIO TOWN CENTRE",174603
"536","AMSZ05","SHANGRI-LA","AMSZ01","ANG MO KIO TOWN CENTRE",151954
"615","AMSZ06","KEBUN BAHRU","AMSZ01","ANG MO KIO TOWN CENTRE",607409
"664","AMSZ07","SEMBAWANG HILLS","AMSZ01","ANG MO KIO TOWN CENTRE",20163
"740","AMSZ08","TAGORE","AMSZ01","ANG MO KIO TOWN CENTRE",19151
"804","AMSZ09","YIO CHU KANG WEST","AMSZ01","ANG MO KIO TOWN CENTRE",193919
"865","AMSZ10","YIO CHU KANG","AMSZ01","ANG MO KIO TOWN CENTRE",47685
"1033","AMSZ11","YIO CHU KANG NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",5621
"1111","AMSZ12","YIO CHU KANG EAST","AMSZ01","ANG MO KIO TOWN CENTRE",4631
"1161","BDSZ01","KAKI BUKIT","AMSZ01","ANG MO KIO TOWN CENTRE",3179
"1326","BDSZ02","BEDOK RESERVOIR","AMSZ01","ANG MO KIO TOWN CENTRE",1969
"1474","BDSZ03","KEMBANGAN","AMSZ01","ANG MO KIO TOWN CENTRE",22
"1616","BDSZ04","BEDOK NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",55
"1809","BDSZ05","FRANKEL","AMSZ01","ANG MO KIO TOWN CENTRE",5929
"1952","BDSZ06","BEDOK SOUTH","AMSZ01","ANG MO KIO TOWN CENTRE",5203
"2115","BDSZ07","SIGLAP","AMSZ01","ANG MO KIO TOWN CENTRE",88
"2213","BDSZ08","BAYSHORE","AMSZ01","ANG MO KIO TOWN CENTRE",319
"3246","BMSZ01","MARITIME SQUARE","AMSZ01","ANG MO KIO TOWN CENTRE",682
"3444","BMSZ02","BUKIT MERAH","AMSZ01","ANG MO KIO TOWN CENTRE",22
"3595","BMSZ03","REDHILL","AMSZ01","ANG MO KIO TOWN CENTRE",363
"3943","BMSZ05","SINGAPORE GENERAL HOSPITAL","AMSZ01","ANG MO KIO TOWN CENTRE",869
"4310","BMSZ08","HENDERSON HILL","AMSZ01","ANG MO KIO TOWN CENTRE",396
"4638","BMSZ11","KAMPONG TIONG BAHRU","AMSZ01","ANG MO KIO TOWN CENTRE",539
"4797","BMSZ13","TELOK BLANGAH DRIVE","AMSZ01","ANG MO KIO TOWN CENTRE",374
"4967","BMSZ15","TELOK BLANGAH RISE","AMSZ01","ANG MO KIO TOWN CENTRE",187
"6253","BSSZ01","UPPER THOMSON","AMSZ01","ANG MO KIO TOWN CENTRE",56804
"6433","BSSZ02","MARYMOUNT","AMSZ01","ANG MO KIO TOWN CENTRE",27192
"6547","BSSZ03","BISHAN EAST","AMSZ01","ANG MO KIO TOWN CENTRE",7590
"6731","BTSZ01","ANAK BUKIT","AMSZ01","ANG MO KIO TOWN CENTRE",330
"6905","BTSZ02","SWISS CLUB","AMSZ01","ANG MO KIO TOWN CENTRE",726
"7027","BTSZ03","HOLLAND ROAD","AMSZ01","ANG MO KIO TOWN CENTRE",330
"7212","BTSZ05","HILLCREST","AMSZ01","ANG MO KIO TOWN CENTRE",726
"7464","BTSZ07","LEEDON PARK","AMSZ01","ANG MO KIO TOWN CENTRE",143
"7624","BTSZ08","FARRER COURT","AMSZ01","ANG MO KIO TOWN CENTRE",726
"7776","CCSZ01","CENTRAL WATER CATCHMENT","AMSZ01","ANG MO KIO TOWN CENTRE",4191
"7961","CHSZ03","CHANGI AIRPORT","AMSZ01","ANG MO KIO TOWN CENTRE",2794
"8641","CLSZ02","SUNSET WAY","AMSZ01","ANG MO KIO TOWN CENTRE",396
"8757","CLSZ04","CLEMENTI NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",1298
"8979","CLSZ06","CLEMENTI CENTRAL","AMSZ01","ANG MO KIO TOWN CENTRE",1034
"9317","DTSZ01","BUGIS","AMSZ01","ANG MO KIO TOWN CENTRE",550
"9699","DTSZ03","MARINA CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",363
"9874","DTSZ05","RAFFLES PLACE","AMSZ01","ANG MO KIO TOWN CENTRE",55
"10016","DTSZ06","CLIFFORD PIER","AMSZ01","ANG MO KIO TOWN CENTRE",44
"10127","DTSZ08","CECIL","AMSZ01","ANG MO KIO TOWN CENTRE",132
"10405","DTSZ10","ANSON","AMSZ01","ANG MO KIO TOWN CENTRE",55
"10488","DTSZ11","CENTRAL SUBZONE","AMSZ01","ANG MO KIO TOWN CENTRE",99
"10657","DTSZ12","BAYFRONT SUBZONE","AMSZ01","ANG MO KIO TOWN CENTRE",396
"10803","GLSZ01","KALLANG WAY","AMSZ01","ANG MO KIO TOWN CENTRE",1122
"10908","GLSZ02","MACPHERSON","AMSZ01","ANG MO KIO TOWN CENTRE",7579
"11087","GLSZ03","KAMPONG UBI","AMSZ01","ANG MO KIO TOWN CENTRE",7513
"11272","GLSZ04","ALJUNIED","AMSZ01","ANG MO KIO TOWN CENTRE",946
"11474","GLSZ05","GEYLANG EAST","AMSZ01","ANG MO KIO TOWN CENTRE",4488
"11861","HGSZ02","KANGKAR","AMSZ01","ANG MO KIO TOWN CENTRE",1969
"12227","HGSZ06","KOVAN","AMSZ01","ANG MO KIO TOWN CENTRE",15939
"12394","HGSZ07","LORONG AH SOO","AMSZ01","ANG MO KIO TOWN CENTRE",37554
"12491","HGSZ08","TAI SENG","AMSZ01","ANG MO KIO TOWN CENTRE",9405
"14023","KLSZ01","BENDEMEER","AMSZ01","ANG MO KIO TOWN CENTRE",4642
"14824","KLSZ06","LAVENDER","AMSZ01","ANG MO KIO TOWN CENTRE",4367
"15011","KLSZ07","KAMPONG JAVA","AMSZ01","ANG MO KIO TOWN CENTRE",858
"15335","KLSZ09","CRAWFORD","AMSZ01","ANG MO KIO TOWN CENTRE",495
"15535","MDSZ01","MANDAI WEST","AMSZ01","ANG MO KIO TOWN CENTRE",1573
"15579","MPSZ01","MOUNTBATTEN","AMSZ01","ANG MO KIO TOWN CENTRE",154
"15765","MPSZ03","MARINE PARADE","AMSZ01","ANG MO KIO TOWN CENTRE",990
"15895","MUSZ01","DHOBY GHAUT","AMSZ01","ANG MO KIO TOWN CENTRE",55
"16088","MUSZ02","FORT CANNING","AMSZ01","ANG MO KIO TOWN CENTRE",22
"16169","MUSZ03","BRAS BASAH","AMSZ01","ANG MO KIO TOWN CENTRE",220
"16371","NTSZ01","ORANGE GROVE","AMSZ01","ANG MO KIO TOWN CENTRE",22
"16683","NVSZ01","BALESTIER","AMSZ01","ANG MO KIO TOWN CENTRE",6083
"16818","NVSZ02","MOULMEIN","AMSZ01","ANG MO KIO TOWN CENTRE",957
"16991","NVSZ03","MALCOLM","AMSZ01","ANG MO KIO TOWN CENTRE",638
"17120","NVSZ04","DUNEARN","AMSZ01","ANG MO KIO TOWN CENTRE",297
"17225","NVSZ05","MOUNT PLEASANT","AMSZ01","ANG MO KIO TOWN CENTRE",605
"17334","ORSZ02","BOULEVARD","AMSZ01","ANG MO KIO TOWN CENTRE",275
"17718","OTSZ01","PEARL'S HILL","AMSZ01","ANG MO KIO TOWN CENTRE",385
"17832","OTSZ02","PEOPLE'S PARK","AMSZ01","ANG MO KIO TOWN CENTRE",110
"18387","PGSZ02","PUNGGOL TOWN CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",451
"18512","PGSZ03","MATILDA","AMSZ01","ANG MO KIO TOWN CENTRE",1034
"18658","PGSZ04","PUNGGOL FIELD","AMSZ01","ANG MO KIO TOWN CENTRE",836
"18799","PGSZ05","WATERWAY EAST","AMSZ01","ANG MO KIO TOWN CENTRE",132
"19789","QTSZ02","HOLLAND DRIVE","AMSZ01","ANG MO KIO TOWN CENTRE",66
"20088","QTSZ04","TANGLIN HALT","AMSZ01","ANG MO KIO TOWN CENTRE",11
"20200","QTSZ05","MARGARET DRIVE","AMSZ01","ANG MO KIO TOWN CENTRE",253
"20554","QTSZ08","ONE NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",33
"20721","QTSZ09","SINGAPORE POLYTECHNIC","AMSZ01","ANG MO KIO TOWN CENTRE",176
"20888","QTSZ10","DOVER","AMSZ01","ANG MO KIO TOWN CENTRE",88
"21927","RCSZ04","ROCHOR CANAL","AMSZ01","ANG MO KIO TOWN CENTRE",693
"22103","RCSZ06","MACKENZIE","AMSZ01","ANG MO KIO TOWN CENTRE",770
"22163","RCSZ08","SELEGIE","AMSZ01","ANG MO KIO TOWN CENTRE",297
"22367","RCSZ10","VICTORIA","AMSZ01","ANG MO KIO TOWN CENTRE",110
"22817","SBSZ01","SEMBAWANG EAST","AMSZ01","ANG MO KIO TOWN CENTRE",1430
"23104","SBSZ06","SEMBAWANG STRAITS","AMSZ01","ANG MO KIO TOWN CENTRE",66
"23115","SBSZ07","THE WHARVES","AMSZ01","ANG MO KIO TOWN CENTRE",363
"23130","SBSZ08","SENOKO NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",495
"23176","SESZ02","RIVERVALE","AMSZ01","ANG MO KIO TOWN CENTRE",15059
"23324","SESZ03","SENGKANG TOWN CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",9878
"23761","SESZ06","FERNVALE","AMSZ01","ANG MO KIO TOWN CENTRE",14718
"23938","SGSZ01","SELETAR HILLS","AMSZ01","ANG MO KIO TOWN CENTRE",3861
"24017","SGSZ03","SERANGOON NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",41811
"24077","SGSZ04","SERANGOON GARDEN","AMSZ01","ANG MO KIO TOWN CENTRE",59323
"24196","SGSZ05","LORONG CHUAN","AMSZ01","ANG MO KIO TOWN CENTRE",11011
"24342","SGSZ06","SERANGOON CENTRAL","AMSZ01","ANG MO KIO TOWN CENTRE",50215
"24531","SGSZ07","UPPER PAYA LEBAR","AMSZ01","ANG MO KIO TOWN CENTRE",11143
"24927","SLSZ04","SELETAR","AMSZ01","ANG MO KIO TOWN CENTRE",2684
"25058","SRSZ02","CLARKE QUAY","AMSZ01","ANG MO KIO TOWN CENTRE",99
"25467","TMSZ02","TAMPINES EAST","AMSZ01","ANG MO KIO TOWN CENTRE",1793
"25644","TMSZ03","TAMPINES WEST","AMSZ01","ANG MO KIO TOWN CENTRE",957
"25802","TMSZ04","SIMEI","AMSZ01","ANG MO KIO TOWN CENTRE",22
"25947","TMSZ05","XILIN","AMSZ01","ANG MO KIO TOWN CENTRE",495
"26071","TNSZ01","NASSIM","AMSZ01","ANG MO KIO TOWN CENTRE",352
"26351","TNSZ03","RIDOUT","AMSZ01","ANG MO KIO TOWN CENTRE",22
"26770","TPSZ02","TOA PAYOH CENTRAL","AMSZ01","ANG MO KIO TOWN CENTRE",4378
"26982","TPSZ03","BRADDELL","AMSZ01","ANG MO KIO TOWN CENTRE",4939
"27276","TPSZ08","WOODLEIGH","AMSZ01","ANG MO KIO TOWN CENTRE",1089
"27315","TPSZ09","POTONG PASIR","AMSZ01","ANG MO KIO TOWN CENTRE",2156
"27454","TPSZ10","BIDADARI","AMSZ01","ANG MO KIO TOWN CENTRE",77
"27595","TPSZ11","SENNETT","AMSZ01","ANG MO KIO TOWN CENTRE",8052
"27659","TPSZ12","JOO SENG","AMSZ01","ANG MO KIO TOWN CENTRE",2926
"28099","WDSZ01","WOODLANDS REGIONAL CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",1133
"28712","WDSZ07","GREENWOOD PARK","AMSZ01","ANG MO KIO TOWN CENTRE",110
"28729","WDSZ08","SENOKO WEST","AMSZ01","ANG MO KIO TOWN CENTRE",847
"28804","YSSZ01","YISHUN CENTRAL","AMSZ01","ANG MO KIO TOWN CENTRE",30283
"28929","YSSZ02","NORTHLAND","AMSZ01","ANG MO KIO TOWN CENTRE",2035
"28986","YSSZ04","YISHUN SOUTH","AMSZ01","ANG MO KIO TOWN CENTRE",25861
"29092","YSSZ05","LOWER SELETAR","AMSZ01","ANG MO KIO TOWN CENTRE",660
"29159","YSSZ06","SPRINGLEAF","AMSZ01","ANG MO KIO TOWN CENTRE",15499
"29201","YSSZ07","NEE SOON","AMSZ01","ANG MO KIO TOWN CENTRE",2959
"29232","YSSZ08","KHATIB","AMSZ01","ANG MO KIO TOWN CENTRE",3773
"22","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ02","CHENG SAN",145937
"158","AMSZ02","CHENG SAN","AMSZ02","CHENG SAN",509135
"305","AMSZ03","CHONG BOON","AMSZ02","CHENG SAN",38929
"537","AMSZ05","SHANGRI-LA","AMSZ02","CHENG SAN",88990
"616","AMSZ06","KEBUN BAHRU","AMSZ02","CHENG SAN",361328
"741","AMSZ08","TAGORE","AMSZ02","CHENG SAN",44
"805","AMSZ09","YIO CHU KANG WEST","AMSZ02","CHENG SAN",37741
"866","AMSZ10","YIO CHU KANG","AMSZ02","CHENG SAN",12449
"1112","AMSZ12","YIO CHU KANG EAST","AMSZ02","CHENG SAN",341
"1162","BDSZ01","KAKI BUKIT","AMSZ02","CHENG SAN",947
"1327","BDSZ02","BEDOK RESERVOIR","AMSZ02","CHENG SAN",425
"1475","BDSZ03","KEMBANGAN","AMSZ02","CHENG SAN",6851
"1617","BDSZ04","BEDOK NORTH","AMSZ02","CHENG SAN",16658
"1953","BDSZ06","BEDOK SOUTH","AMSZ02","CHENG SAN",4501
"2214","BDSZ08","BAYSHORE","AMSZ02","CHENG SAN",22
"2312","BKSZ01","GOMBAK","AMSZ02","CHENG SAN",525
"2579","BKSZ04","GUILIN","AMSZ02","CHENG SAN",2025
"2857","BKSZ07","BUKIT BATOK CENTRAL","AMSZ02","CHENG SAN",2368
"3247","BMSZ01","MARITIME SQUARE","AMSZ02","CHENG SAN",1161
"3445","BMSZ02","BUKIT MERAH","AMSZ02","CHENG SAN",286
"3596","BMSZ03","REDHILL","AMSZ02","CHENG SAN",1280
"3767","BMSZ04","TIONG BAHRU STATION","AMSZ02","CHENG SAN",1878
"3944","BMSZ05","SINGAPORE GENERAL HOSPITAL","AMSZ02","CHENG SAN",247
"4311","BMSZ08","HENDERSON HILL","AMSZ02","CHENG SAN",308
"5268","BPSZ01","SENJA","AMSZ02","CHENG SAN",27
"5406","BPSZ02","SAUJANA","AMSZ02","CHENG SAN",256
"5526","BPSZ03","FAJAR","AMSZ02","CHENG SAN",178
"5642","BPSZ04","BANGKIT","AMSZ02","CHENG SAN",106
"5786","BPSZ05","JELEBU","AMSZ02","CHENG SAN",102
"5954","BPSZ06","DAIRY FARM","AMSZ02","CHENG SAN",46
"6108","BPSZ07","NATURE RESERVE","AMSZ02","CHENG SAN",123
"6254","BSSZ01","UPPER THOMSON","AMSZ02","CHENG SAN",20784
"6434","BSSZ02","MARYMOUNT","AMSZ02","CHENG SAN",25025
"6548","BSSZ03","BISHAN EAST","AMSZ02","CHENG SAN",7960
"6732","BTSZ01","ANAK BUKIT","AMSZ02","CHENG SAN",563
"6906","BTSZ02","SWISS CLUB","AMSZ02","CHENG SAN",2068
"7028","BTSZ03","HOLLAND ROAD","AMSZ02","CHENG SAN",167
"7213","BTSZ05","HILLCREST","AMSZ02","CHENG SAN",902
"7296","BTSZ06","CORONATION ROAD","AMSZ02","CHENG SAN",48
"7465","BTSZ07","LEEDON PARK","AMSZ02","CHENG SAN",762
"7625","BTSZ08","FARRER COURT","AMSZ02","CHENG SAN",1340
"7777","CCSZ01","CENTRAL WATER CATCHMENT","AMSZ02","CHENG SAN",1265
"7962","CHSZ03","CHANGI AIRPORT","AMSZ02","CHENG SAN",422
"8105","CKSZ01","TECK WHYE","AMSZ02","CHENG SAN",838
"8285","CKSZ03","CHOA CHU KANG CENTRAL","AMSZ02","CHENG SAN",6336
"8469","CKSZ06","YEW TEE","AMSZ02","CHENG SAN",5670
"8642","CLSZ02","SUNSET WAY","AMSZ02","CHENG SAN",671
"8758","CLSZ04","CLEMENTI NORTH","AMSZ02","CHENG SAN",3371
"8980","CLSZ06","CLEMENTI CENTRAL","AMSZ02","CHENG SAN",737
"9318","DTSZ01","BUGIS","AMSZ02","CHENG SAN",16
"9502","DTSZ02","CITY HALL","AMSZ02","CHENG SAN",519
"9700","DTSZ03","MARINA CENTRE","AMSZ02","CHENG SAN",68
"9875","DTSZ05","RAFFLES PLACE","AMSZ02","CHENG SAN",605
"10264","DTSZ09","TANJONG PAGAR","AMSZ02","CHENG SAN",595
"10489","DTSZ11","CENTRAL SUBZONE","AMSZ02","CHENG SAN",82
"10658","DTSZ12","BAYFRONT SUBZONE","AMSZ02","CHENG SAN",252
"10909","GLSZ02","MACPHERSON","AMSZ02","CHENG SAN",1362
"11088","GLSZ03","KAMPONG UBI","AMSZ02","CHENG SAN",7957
"11273","GLSZ04","ALJUNIED","AMSZ02","CHENG SAN",2220
"11475","GLSZ05","GEYLANG EAST","AMSZ02","CHENG SAN",2484
"11674","HGSZ01","HOUGANG CENTRAL","AMSZ02","CHENG SAN",42626
"11961","HGSZ03","HOUGANG EAST","AMSZ02","CHENG SAN",12848
"12048","HGSZ04","HOUGANG WEST","AMSZ02","CHENG SAN",63514
"12152","HGSZ05","TRAFALGAR","AMSZ02","CHENG SAN",144881
"12228","HGSZ06","KOVAN","AMSZ02","CHENG SAN",291
"12395","HGSZ07","LORONG AH SOO","AMSZ02","CHENG SAN",13838
"12492","HGSZ08","TAI SENG","AMSZ02","CHENG SAN",11737
"12567","HGSZ09","DEFU INDUSTRIAL PARK","AMSZ02","CHENG SAN",4180
"12891","JESZ04","LAKESIDE","AMSZ02","CHENG SAN",473
"13039","JESZ05","JURONG GATEWAY","AMSZ02","CHENG SAN",3775
"13610","JWSZ04","TAMAN JURONG","AMSZ02","CHENG SAN",2251
"13852","JWSZ09","JURONG WEST CENTRAL","AMSZ02","CHENG SAN",3437
"14024","KLSZ01","BENDEMEER","AMSZ02","CHENG SAN",554
"14208","KLSZ02","GEYLANG BAHRU","AMSZ02","CHENG SAN",255
"14374","KLSZ03","BOON KENG","AMSZ02","CHENG SAN",783
"14685","KLSZ05","TANJONG RHU","AMSZ02","CHENG SAN",99
"14825","KLSZ06","LAVENDER","AMSZ02","CHENG SAN",1078
"15012","KLSZ07","KAMPONG JAVA","AMSZ02","CHENG SAN",20
"15167","KLSZ08","KALLANG BAHRU","AMSZ02","CHENG SAN",10
"15336","KLSZ09","CRAWFORD","AMSZ02","CHENG SAN",96
"15896","MUSZ01","DHOBY GHAUT","AMSZ02","CHENG SAN",589
"16170","MUSZ03","BRAS BASAH","AMSZ02","CHENG SAN",142
"16372","NTSZ01","ORANGE GROVE","AMSZ02","CHENG SAN",44
"16472","NTSZ03","NEWTON CIRCUS","AMSZ02","CHENG SAN",5773
"16819","NVSZ02","MOULMEIN","AMSZ02","CHENG SAN",4919
"17121","NVSZ04","DUNEARN","AMSZ02","CHENG SAN",44
"17226","NVSZ05","MOUNT PLEASANT","AMSZ02","CHENG SAN",297
"17335","ORSZ02","BOULEVARD","AMSZ02","CHENG SAN",3189
"17528","ORSZ03","SOMERSET","AMSZ02","CHENG SAN",1203
"17833","OTSZ02","PEOPLE'S PARK","AMSZ02","CHENG SAN",560
"17992","OTSZ03","CHINATOWN","AMSZ02","CHENG SAN",588
"18159","OTSZ04","CHINA SQUARE","AMSZ02","CHENG SAN",32
"18289","PGSZ01","NORTHSHORE","AMSZ02","CHENG SAN",34
"18388","PGSZ02","PUNGGOL TOWN CENTRE","AMSZ02","CHENG SAN",648
"18513","PGSZ03","MATILDA","AMSZ02","CHENG SAN",6410
"18659","PGSZ04","PUNGGOL FIELD","AMSZ02","CHENG SAN",15438
"18800","PGSZ05","WATERWAY EAST","AMSZ02","CHENG SAN",26921
"18929","PLSZ01","PAYA LEBAR NORTH","AMSZ02","CHENG SAN",979
"18955","PLSZ02","PAYA LEBAR EAST","AMSZ02","CHENG SAN",1859
"18979","PLSZ03","PAYA LEBAR WEST","AMSZ02","CHENG SAN",11
"18998","PLSZ05","PLAB","AMSZ02","CHENG SAN",231
"19018","PNSZ01","JOO KOON","AMSZ02","CHENG SAN",226
"19149","PNSZ02","GUL CIRCLE","AMSZ02","CHENG SAN",21
"19285","PRSZ02","PASIR RIS WEST","AMSZ02","CHENG SAN",21065
"19345","PRSZ03","PASIR RIS CENTRAL","AMSZ02","CHENG SAN",26104
"19790","QTSZ02","HOLLAND DRIVE","AMSZ02","CHENG SAN",33
"19917","QTSZ03","COMMONWEALTH","AMSZ02","CHENG SAN",372
"20201","QTSZ05","MARGARET DRIVE","AMSZ02","CHENG SAN",88
"20294","QTSZ06","MEI CHIN","AMSZ02","CHENG SAN",571
"20555","QTSZ08","ONE NORTH","AMSZ02","CHENG SAN",1192
"20722","QTSZ09","SINGAPORE POLYTECHNIC","AMSZ02","CHENG SAN",616
"20889","QTSZ10","DOVER","AMSZ02","CHENG SAN",176
"20972","QTSZ11","NATIONAL UNIVERSITY OF S'PORE","AMSZ02","CHENG SAN",339
"21191","QTSZ13","PASIR PANJANG 1","AMSZ02","CHENG SAN",373
"21457","QTSZ15","PORT","AMSZ02","CHENG SAN",181
"21590","RCSZ01","FARRER PARK","AMSZ02","CHENG SAN",874
"21782","RCSZ03","SUNGEI ROAD","AMSZ02","CHENG SAN",10
"22205","RCSZ09","BENCOOLEN","AMSZ02","CHENG SAN",57
"22368","RCSZ10","VICTORIA","AMSZ02","CHENG SAN",344
"22885","SBSZ03","SEMBAWANG CENTRAL","AMSZ02","CHENG SAN",22444
"23177","SESZ02","RIVERVALE","AMSZ02","CHENG SAN",92789
"23325","SESZ03","SENGKANG TOWN CENTRE","AMSZ02","CHENG SAN",92475
"23485","SESZ04","ANCHORVALE","AMSZ02","CHENG SAN",40734
"23610","SESZ05","COMPASSVALE","AMSZ02","CHENG SAN",10544
"23762","SESZ06","FERNVALE","AMSZ02","CHENG SAN",93595
"23984","SGSZ02","SERANGOON NORTH IND ESTATE","AMSZ02","CHENG SAN",27511
"24018","SGSZ03","SERANGOON NORTH","AMSZ02","CHENG SAN",64548
"24197","SGSZ05","LORONG CHUAN","AMSZ02","CHENG SAN",2962
"24343","SGSZ06","SERANGOON CENTRAL","AMSZ02","CHENG SAN",24756
"24532","SGSZ07","UPPER PAYA LEBAR","AMSZ02","CHENG SAN",13992
"24678","SKSZ02","TURF CLUB","AMSZ02","CHENG SAN",7250
"25059","SRSZ02","CLARKE QUAY","AMSZ02","CHENG SAN",260
"25291","SVSZ01","STRAITS VIEW","AMSZ02","CHENG SAN",51
"25468","TMSZ02","TAMPINES EAST","AMSZ02","CHENG SAN",44818
"25645","TMSZ03","TAMPINES WEST","AMSZ02","CHENG SAN",14870
"25803","TMSZ04","SIMEI","AMSZ02","CHENG SAN",626
"25948","TMSZ05","XILIN","AMSZ02","CHENG SAN",54
"26072","TNSZ01","NASSIM","AMSZ02","CHENG SAN",533
"26352","TNSZ03","RIDOUT","AMSZ02","CHENG SAN",121
"26435","TNSZ04","TYERSALL","AMSZ02","CHENG SAN",86
"26598","TPSZ01","TOA PAYOH WEST","AMSZ02","CHENG SAN",7908
"26771","TPSZ02","TOA PAYOH CENTRAL","AMSZ02","CHENG SAN",15237
"26983","TPSZ03","BRADDELL","AMSZ02","CHENG SAN",4686
"27316","TPSZ09","POTONG PASIR","AMSZ02","CHENG SAN",204
"27455","TPSZ10","BIDADARI","AMSZ02","CHENG SAN",360
"27660","TPSZ12","JOO SENG","AMSZ02","CHENG SAN",475
"27824","TSSZ02","TUAS PROMENADE","AMSZ02","CHENG SAN",147
"27944","TSSZ03","TUAS NORTH","AMSZ02","CHENG SAN",52
"28100","WDSZ01","WOODLANDS REGIONAL CENTRE","AMSZ02","CHENG SAN",13833
"28328","WDSZ03","WOODLANDS EAST","AMSZ02","CHENG SAN",21593
"28570","WDSZ06","WOODLANDS WEST","AMSZ02","CHENG SAN",10162
"29233","YSSZ08","KHATIB","AMSZ02","CHENG SAN",15964
"29376","YSSZ09","YISHUN WEST","AMSZ02","CHENG SAN",25450
"23","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ03","CHONG BOON",132836
"159","AMSZ02","CHENG SAN","AMSZ03","CHONG BOON",309947
"306","AMSZ03","CHONG BOON","AMSZ03","CHONG BOON",553806
"415","AMSZ04","TOWNSVILLE","AMSZ03","CHONG BOON",29260
"617","AMSZ06","KEBUN BAHRU","AMSZ03","CHONG BOON",495
"665","AMSZ07","SEMBAWANG HILLS","AMSZ03","CHONG BOON",22
"742","AMSZ08","TAGORE","AMSZ03","CHONG BOON",121
"806","AMSZ09","YIO CHU KANG WEST","AMSZ03","CHONG BOON",374
"867","AMSZ10","YIO CHU KANG","AMSZ03","CHONG BOON",19239
"1034","AMSZ11","YIO CHU KANG NORTH","AMSZ03","CHONG BOON",2343
"1113","AMSZ12","YIO CHU KANG EAST","AMSZ03","CHONG BOON",1397
"1476","BDSZ03","KEMBANGAN","AMSZ03","CHONG BOON",2486
"1618","BDSZ04","BEDOK NORTH","AMSZ03","CHONG BOON",5720
"1810","BDSZ05","FRANKEL","AMSZ03","CHONG BOON",4862
"1954","BDSZ06","BEDOK SOUTH","AMSZ03","CHONG BOON",4169
"2116","BDSZ07","SIGLAP","AMSZ03","CHONG BOON",517
"2215","BDSZ08","BAYSHORE","AMSZ03","CHONG BOON",550
"6435","BSSZ02","MARYMOUNT","AMSZ03","CHONG BOON",63239
"6549","BSSZ03","BISHAN EAST","AMSZ03","CHONG BOON",54626
"7029","BTSZ03","HOLLAND ROAD","AMSZ03","CHONG BOON",99
"7214","BTSZ05","HILLCREST","AMSZ03","CHONG BOON",88
"7778","CCSZ01","CENTRAL WATER CATCHMENT","AMSZ03","CHONG BOON",1133
"8981","CLSZ06","CLEMENTI CENTRAL","AMSZ03","CHONG BOON",440
"10910","GLSZ02","MACPHERSON","AMSZ03","CHONG BOON",1056
"11089","GLSZ03","KAMPONG UBI","AMSZ03","CHONG BOON",12738
"11274","GLSZ04","ALJUNIED","AMSZ03","CHONG BOON",2079
"11476","GLSZ05","GEYLANG EAST","AMSZ03","CHONG BOON",5885
"11675","HGSZ01","HOUGANG CENTRAL","AMSZ03","CHONG BOON",17567
"11862","HGSZ02","KANGKAR","AMSZ03","CHONG BOON",11110
"11962","HGSZ03","HOUGANG EAST","AMSZ03","CHONG BOON",37202
"12049","HGSZ04","HOUGANG WEST","AMSZ03","CHONG BOON",154704
"12153","HGSZ05","TRAFALGAR","AMSZ03","CHONG BOON",81070
"12229","HGSZ06","KOVAN","AMSZ03","CHONG BOON",73623
"12396","HGSZ07","LORONG AH SOO","AMSZ03","CHONG BOON",52349
"12493","HGSZ08","TAI SENG","AMSZ03","CHONG BOON",15895
"15675","MPSZ02","KATONG","AMSZ03","CHONG BOON",1133
"15766","MPSZ03","MARINE PARADE","AMSZ03","CHONG BOON",1078
"17122","NVSZ04","DUNEARN","AMSZ03","CHONG BOON",891
"17227","NVSZ05","MOUNT PLEASANT","AMSZ03","CHONG BOON",286
"18389","PGSZ02","PUNGGOL TOWN CENTRE","AMSZ03","CHONG BOON",33
"18514","PGSZ03","MATILDA","AMSZ03","CHONG BOON",363
"18660","PGSZ04","PUNGGOL FIELD","AMSZ03","CHONG BOON",814
"18801","PGSZ05","WATERWAY EAST","AMSZ03","CHONG BOON",1210
"19286","PRSZ02","PASIR RIS WEST","AMSZ03","CHONG BOON",1760
"19346","PRSZ03","PASIR RIS CENTRAL","AMSZ03","CHONG BOON",1595
"23178","SESZ02","RIVERVALE","AMSZ03","CHONG BOON",12463
