FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_2,Join_Cou_1,TARGET_F_1,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,floor,Shape_Le_1,Shape_Area,memebershi,membership,Field1,V1,V2,V3
37,43,12,42,43,15,42,43,6,CLIFFORD PIER,DTSZ06,0,82530.39844,2405.990925,83125.89844,2405.990925,261843.8968,Central,Central,93,DTSZ06,1,1
38,45,8,44,45,8,44,45,3,MARINA CENTRE,DTSZ03,10,1141260,4047.111169,1141260,4047.111169,886954.8092,Central,Central,90,DTSZ03,1,1
39,46,20,45,46,21,45,46,3,BRAS BASAH,MUSZ03,10,95235.20313,2348.657173,95853,2348.657173,223206.6032,Central,Central,153,MUSZ03,1,1
40,47,0,46,47,0,46,47,4,OXLEY,RVSZ04,1440,0,1989.487026,0,1989.487026,200052.6848,Central,Central,221,RVSZ04,1,1
41,48,28,47,48,31,47,48,2,CITY HALL,DTSZ02,70,1091120,4544.169847,1124140,4544.169847,710568.7029,Central,Central,89,DTSZ02,1,1
42,49,0,48,49,1,48,49,6,MEI CHIN,QTSZ06,16250,0,3580.442857,2585.280029,3580.442857,748683.9959,Central,West Coast,199,QTSZ06,1,4
43,51,2,50,51,3,50,51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,230,46006.10156,5625.416891,47118.5,5625.416891,1755950.439,West Coast,West Coast,204,QTSZ11,2,4
44,52,0,51,52,0,51,52,1,ONE TREE HILL,RVSZ01,1880,0,2464.413094,0,2464.413094,340743.3416,Central,Central,218,RVSZ01,1,1
45,53,37,52,53,50,52,53,3,SOMERSET,ORSZ03,110,601855,3039.805232,803810,3039.805232,329437.9332,Central,Central,166,ORSZ03,1,1
46,54,45,53,54,50,53,54,9,BENCOOLEN,RCSZ09,1380,132117,1916.097548,135599,1916.097548,170664.3045,Toa Payoh,Central,216,RCSZ09,5,1
47,55,0,54,55,2,54,55,3,LEONIE HILL,RVSZ03,2740,0,2676.352563,84119.29688,2676.352563,368482.9883,Central,Central,220,RVSZ03,1,1
48,56,1,55,56,1,55,56,15,PORT,QTSZ15,120,27685.59961,23438.81854,27685.59961,23438.81854,7601893.995,West Coast,West Coast,208,QTSZ15,2,4
49,57,20,56,57,21,56,57,1,DHOBY GHAUT,MUSZ01,220,297684,2584.78831,334578,2584.78831,221973.3418,Central,Central,151,MUSZ01,1,1
50,58,52,57,58,62,57,58,1,BUGIS,DTSZ01,840,433367,2658.881648,443984,2658.881648,280174.7667,Central,Central,88,DTSZ01,1,1
51,59,36,58,59,36,58,59,10,VICTORIA,RCSZ10,1980,174229,2093.770233,174229,2093.770233,214250.2981,Central,Central,217,RCSZ10,1,1
52,60,0,59,60,0,59,60,2,PATERSON,RVSZ02,210,0,1753.92708,0,1753.92708,173121.7736,Central,Central,219,RVSZ02,1,1
53,61,0,60,61,0,60,61,15,TELOK BLANGAH RISE,BMSZ15,13080,0,3713.838181,0,3713.838181,533671.2531,Central,Central,48,BMSZ15,1,1
54,62,18,61,62,23,61,62,9,TANJONG PAGAR,DTSZ09,580,504386,1787.710451,508995,1787.710451,145518.6639,Central,Central,96,DTSZ09,1,1
55,63,36,62,63,45,62,63,16,EVERTON PARK,BMSZ16,8750,33743.19922,3776.683388,141608,3776.683388,635704.0567,Central,Central,49,BMSZ16,1,1
56,64,2,63,64,4,63,64,4,TANGLIN HALT,QTSZ04,12370,129415,3556.229094,415402,3556.229094,503220.7514,Central,West Coast,197,QTSZ04,1,4
57,65,5,64,65,8,64,65,6,MACKENZIE,RCSZ06,130,39938.19922,1216.480631,78738.70313,1216.480631,55681.28248,Toa Payoh,Central,214,RCSZ06,5,1
58,66,15,65,66,20,65,66,3,SUNGEI ROAD,RCSZ03,2240,26139.30078,1727.963503,27276.59961,1727.963503,116329.9966,Toa Payoh,Central,211,RCSZ03,5,1
59,67,27,66,67,58,66,67,8,ONE NORTH,QTSZ08,610,1184090,6591.907914,1899150,6591.907914,2051652.622,West Coast,West Coast,201,QTSZ08,2,4
60,68,2,67,68,6,67,68,5,TANJONG RHU,KLSZ05,11060,16018.5,6515.758575,89107.29688,6515.758575,2434594.029,East Coast,East Coast,138,KLSZ05,4,3
61,69,0,68,69,0,68,69,1,MOUNTBATTEN,MPSZ01,10380,0,5430.267061,0,5430.267061,1713623.005,East Coast,East Coast,147,MPSZ01,4,3
62,70,3,69,70,3,69,70,3,COMMONWEALTH,QTSZ03,7710,52901.39844,2713.429971,52901.39844,2713.429971,310513.6474,Central,West Coast,196,QTSZ03,1,4
63,71,1,70,71,1,70,71,10,DOVER,QTSZ10,11710,47413.10156,5637.722008,47413.10156,5637.722008,1386643.316,West Coast,West Coast,203,QTSZ10,2,4
64,72,0,71,72,0,71,72,3,RIDOUT,TNSZ03,1370,0,6450.972879,0,6450.972879,1951865.755,Central,West Coast,265,TNSZ03,1,4
65,74,0,73,74,0,73,74,8,CLEMENTI WEST,CLSZ08,16180,0,5211.867528,0,5211.867528,697501.7143,West Coast,Jurong,86,CLSZ08,2,2
66,75,0,74,75,0,74,75,6,TUAS VIEW EXTENSION,TSSZ06,10,0,54928.09387,0,54928.09387,27710950.08,Tuas,Tuas,284,TSSZ06,10,11
67,76,0,75,76,0,75,76,5,MONK'S HILL,NTSZ05,930,0,2446.733416,0,2446.733416,171720.6207,Central,Central,157,NTSZ05,1,1
68,77,1,76,77,1,76,77,7,SIGLAP,BDSZ07,6620,6112.140137,5436.890533,6112.140137,5436.890533,1097833.703,East Coast,East Coast,19,BDSZ07,4,3
69,78,0,77,78,0,77,78,7,CLEMENTI WOODS,CLSZ07,16160,0,5275.74936,0,5275.74936,1053493.747,West Coast,Jurong,85,CLSZ07,2,2
70,79,0,78,79,1,78,79,5,PIONEER SECTOR,PNSZ05,0,0,8489.982578,3199.169922,8489.982578,2796006.828,Tuas,Tuas,185,PNSZ05,10,11
71,80,0,79,80,0,79,80,10,PENJURU CRESCENT,JESZ10,10,0,9876.049092,0,9876.049092,3049720.082,West Coast,Jurong,124,JESZ10,2,2
72,81,3,80,81,3,80,81,1,ORANGE GROVE,NTSZ01,1480,59270.10156,2476.246298,59270.10156,2476.246298,336221.4941,Central,Central,154,NTSZ01,1,1
73,82,32,81,82,54,81,82,4,KAMPONG BUGIS,KLSZ04,860,136271,4018.127622,540648,4018.127622,741437.9922,East Coast,East Coast,137,KLSZ04,4,3
74,83,27,82,83,39,82,83,2,BOULEVARD,ORSZ02,440,908939,4109.23135,1246090,4109.23135,460550.4298,Central,Central,165,ORSZ02,1,1
