FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_2,Join_Cou_1,TARGET_F_1,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,floor,Shape_Le_1,Shape_Area,memebershi,membership,Field1,V1,V2,V3
159,169,67,168,169,86,168,169,7,LEEDON PARK,BTSZ07,6400,22387.69922,7565.170053,26392.90039,7565.170053,2049551.25,West Coast,West Coast,67,BTSZ07,2,4
160,170,177,169,170,231,169,170,5,GEYLANG EAST,GLSZ05,32140,448650,7028.340071,961102,7028.340071,2579087.17,East Coast,East Coast,104,GLSZ05,4,3
161,171,12,170,171,20,170,171,8,TEBAN GARDENS,JESZ08,19780,282335,8204.29735,333146,8204.29735,3187584.075,West Coast,Jurong,122,JESZ08,2,2
162,172,0,171,172,0,171,172,2,BOON LAY PLACE,JWSZ02,30090,0,3708.366281,0,3708.366281,906317.3907,Jurong,Jurong,126,JWSZ02,7,2
163,173,0,172,173,0,172,173,8,BUKIT BATOK EAST,BKSZ08,13820,0,2619.552372,0,2619.552372,380201.8028,West Coast,Jurong,28,BKSZ08,2,2
164,174,0,173,174,0,173,174,6,BUKIT BATOK WEST,BKSZ06,15730,0,3414.799428,0,3414.799428,526383.3528,West Coast,Jurong,26,BKSZ06,2,2
165,175,1,174,175,5,174,175,7,BUKIT BATOK CENTRAL,BKSZ07,25120,8222.379883,3782.826959,46684.60156,3782.826959,800298.5645,West Coast,Jurong,27,BKSZ07,2,2
166,176,0,175,176,0,175,176,7,UPPER PAYA LEBAR,SGSZ07,16240,0,4658.999428,0,4658.999428,898561.2996,North East,East Coast,244,SGSZ07,3,3
167,177,0,176,177,0,176,177,3,HONG KAH,JWSZ03,55420,0,5589.784561,0,5589.784561,1793463.631,Jurong,Jurong,127,JWSZ03,7,2
168,178,1,177,178,1,177,178,2,TUAS PROMENADE,TSSZ02,10,3238.030029,13318.7734,3238.030029,13318.7734,3188097.306,Tuas,Tuas,280,TSSZ02,10,11
169,179,0,178,179,0,178,179,4,AIRPORT ROAD,PLSZ04,0,0,3433.884804,0,3433.884804,494504.0681,East Coast,East Coast,179,PLSZ04,4,3
170,180,2,179,180,2,179,180,6,SERANGOON CENTRAL,SGSZ06,25640,157556,4784.623169,157556,4784.623169,1061889.353,North East,East Coast,243,SGSZ06,3,3
171,181,7,180,181,7,180,181,3,BISHAN EAST,BSSZ03,28970,66705.20313,5680.719402,66705.20313,5680.719402,1794461.262,North East,Toa Payoh,60,BSSZ03,3,9
172,182,0,181,182,1,181,182,3,TAMPINES WEST,TMSZ03,79280,0,8058.33566,4494.899902,8058.33566,3475209.889,Changi,Changi,260,TMSZ03,6,8
173,183,0,182,183,0,182,183,3,BRICKWORKS,BKSZ03,0,0,4392.362215,0,4392.362215,1225673.649,West Coast,Jurong,23,BKSZ03,2,2
174,184,19,183,184,23,183,184,9,DEFU INDUSTRIAL PARK,HGSZ09,30,329113,8517.596169,408307,8517.596169,1974371.712,East Coast,East Coast,113,HGSZ09,4,3
175,185,0,184,185,0,184,185,4,GUILIN,BKSZ04,13290,0,5564.333231,0,5564.333231,1085080.083,West Coast,Jurong,24,BKSZ04,2,2
176,186,22,185,186,31,185,186,2,MARYMOUNT,BSSZ02,30680,231340,6383.479273,254306,6383.479273,1964134.532,North East,Changi,59,BSSZ02,3,6
177,187,0,186,187,0,186,187,1,WENYA,JWSZ01,8560,0,5864.592818,0,5864.592818,1974943.245,Jurong,Jurong,125,JWSZ01,7,2
178,188,0,187,188,0,187,188,7,NATURE RESERVE,BPSZ07,3870,0,9051.909119,0,9051.909119,4141322.431,Choa Chu Kang,Jurong,57,BPSZ07,11,2
179,189,21,188,189,29,188,189,2,TAMPINES EAST,TMSZ02,136050,487956,10180.62409,691568,10180.62409,4339824.136,Changi,Changi,259,TMSZ02,6,8
180,190,22,189,190,27,189,190,8,TAI SENG,HGSZ08,14290,433311,6396.628384,444210,6396.628384,1796058.935,North East,East Coast,112,HGSZ08,3,3
181,191,0,190,191,0,190,191,1,TENGEH,TSSZ01,0,0,9918.46418,0,9918.46418,2251155.704,Tuas,Tuas,279,TSSZ01,10,11
182,192,0,191,192,0,191,192,1,YUHUA WEST,JESZ01,20420,0,3817.521072,0,3817.521072,776142.4925,West Coast,Jurong,115,JESZ01,2,2
183,193,1,192,193,1,192,193,8,YUNNAN,JWSZ08,68700,13899.40039,7192.208675,13899.40039,7192.208675,2206305.009,Jurong,Jurong,132,JWSZ08,7,2
184,194,1,193,194,1,193,194,5,LORONG CHUAN,SGSZ05,8430,99513.60156,5440.347324,99513.60156,5440.347324,1180126.112,North East,East Coast,242,SGSZ05,3,3
185,195,0,194,195,0,194,195,4,DUNEARN,NVSZ04,3890,0,4827.408264,0,4827.408264,1229894.417,Toa Payoh,West Coast,162,NVSZ04,5,4
186,196,0,195,196,0,195,196,2,SUNSET WAY,CLSZ02,6120,0,4572.130496,0,4572.130496,964682.6793,West Coast,Jurong,80,CLSZ02,2,2
187,197,1,196,197,5,196,197,2,MACPHERSON,GLSZ02,28680,1280.969971,4585.78818,10747.2998,4585.78818,1263409.404,East Coast,East Coast,101,GLSZ02,4,3
188,198,1,197,198,1,197,198,7,KIM KEAT,TPSZ07,8450,7452.029785,2500.852271,7452.029785,2500.852271,369770.5632,Toa Payoh,Toa Payoh,273,TPSZ07,5,9
189,199,4,198,199,5,198,199,4,BEDOK NORTH,BDSZ04,83810,12408.09961,8414.962102,16864,8414.962102,3203663.493,East Coast,Changi,16,BDSZ04,4,8
190,200,12,199,200,13,199,200,2,TOA PAYOH CENTRAL,TPSZ02,29700,226469,5201.968752,226891,5201.968752,1107267.036,Toa Payoh,Toa Payoh,268,TPSZ02,5,9
191,201,0,200,201,0,200,201,1,PAYA LEBAR NORTH,PLSZ01,30,0,4812.862905,0,4812.862905,1287387.263,Changi,Changi,176,PLSZ01,6,8
192,202,0,201,202,0,201,202,3,HOUGANG EAST,HGSZ03,24820,0,3960.446862,0,3960.446862,842667.6261,North East,Punggol,107,HGSZ03,3,10
193,203,0,202,203,0,202,203,10,LORONG HALUS,HGSZ10,0,0,5788.960001,0,5788.960001,1333532.986,Changi,Changi,114,HGSZ10,6,8
194,204,0,203,204,0,203,204,2,KANGKAR,HGSZ02,30180,0,5617.430811,0,5617.430811,1007410.002,North East,Punggol,106,HGSZ02,3,10
195,205,0,204,205,0,204,205,7,SEMBAWANG HILLS,AMSZ07,6800,0,4326.111274,0,4326.111274,894516.0758,North East,Changi,7,AMSZ07,3,6
196,206,1,205,206,1,205,206,5,JELEBU,BPSZ05,32130,11499.09961,3992.426031,11499.09961,3992.426031,911208.285,Choa Chu Kang,Choa Chu Kang,55,BPSZ05,11,7
197,207,1,206,207,1,206,207,2,KEAT HONG,CKSZ02,29340,16631.59961,4680.783291,16631.59961,4680.783291,1143813.675,Choa Chu Kang,Choa Chu Kang,74,CKSZ02,11,7
198,208,0,207,208,0,207,208,4,HOUGANG WEST,HGSZ04,47350,0,6424.482139,0,6424.482139,1328876.198,North East,Punggol,108,HGSZ04,3,10
199,209,0,208,209,2,208,209,3,PAYA LEBAR WEST,PLSZ03,0,0,5898.475695,2967.070068,5898.475695,609894.668,Changi,Changi,178,PLSZ03,6,8
200,210,1,209,210,1,209,210,4,BANGKIT,BPSZ04,23240,3259.76001,4350.135722,3259.76001,4350.135722,763183.4294,Choa Chu Kang,Choa Chu Kang,54,BPSZ04,11,7
201,211,32,210,211,41,210,211,1,ANAK BUKIT,BTSZ01,21970,35470.19922,7637.809479,71094.20313,7637.809479,2768353.557,West Coast,Jurong,61,BTSZ01,2,2
202,212,1,211,212,1,211,212,2,SWISS CLUB,BTSZ02,5580,23556.09961,8976.744053,23556.09961,8976.744053,3467036.985,West Coast,Jurong,62,BTSZ02,2,2
203,213,23,212,213,83,212,213,5,XILIN,TMSZ05,1790,788065,12926.04699,1604520,12926.04699,7833992.845,Changi,Changi,262,TMSZ05,6,8
204,214,1,213,214,3,213,214,4,SIMEI,TMSZ04,41190,4739.720215,7402.560779,15710.09961,7402.560779,2778635.655,Changi,Changi,261,TMSZ04,6,8
205,215,2,214,215,2,214,215,4,PENG SIANG,CKSZ04,34170,12483.40039,4555.057953,12483.40039,4555.057953,862737.0908,Choa Chu Kang,Choa Chu Kang,76,CKSZ04,11,7
206,216,0,215,216,0,215,216,2,PASIR RIS WEST,PRSZ02,35750,0,5128.49489,0,5128.49489,1583440.164,Changi,Changi,187,PRSZ02,6,8
207,217,0,216,217,0,216,217,9,YIO CHU KANG WEST,AMSZ09,25690,0,3707.005727,0,3707.005727,846137.1973,North East,Changi,9,AMSZ09,3,6
208,218,0,217,218,0,217,218,5,TRAFALGAR,HGSZ05,44110,0,6199.267491,0,6199.267491,1744387.407,North East,Punggol,109,HGSZ05,3,10
209,219,0,218,219,0,218,219,1,TECK WHYE,CKSZ01,25880,0,4531.981456,0,4531.981456,1001591.786,Choa Chu Kang,Choa Chu Kang,73,CKSZ01,11,7
210,220,4,219,220,5,219,220,3,CHOA CHU KANG CENTRAL,CKSZ03,21430,54816,4202.496608,56503.80078,4202.496608,1097298.799,Choa Chu Kang,Choa Chu Kang,75,CKSZ03,11,7
211,221,1,220,221,1,220,221,2,CHANGI WEST,CHSZ02,1480,16718.59961,14918.10822,16718.59961,14918.10822,4848516.74,Changi,Changi,71,CHSZ02,6,8
212,222,0,221,222,0,221,222,3,FAJAR,BPSZ03,28770,0,3800.608941,0,3800.608941,668454.4393,Choa Chu Kang,Choa Chu Kang,53,BPSZ03,11,7
213,223,0,222,223,1,222,223,1,SENJA,BPSZ01,21020,0,3836.254229,4007.469971,3836.254229,624877.5001,Choa Chu Kang,Choa Chu Kang,51,BPSZ01,11,7
214,224,0,223,224,0,223,224,2,SAUJANA,BPSZ02,26390,0,3686.690567,0,3686.690567,674992.0009,Choa Chu Kang,Choa Chu Kang,52,BPSZ02,11,7
215,225,0,224,225,0,224,225,1,SELETAR HILLS,SGSZ01,14030,0,6498.651071,0,6498.651071,2330683.264,North East,Changi,238,SGSZ01,3,6
216,226,0,225,226,0,225,226,5,COMPASSVALE,SESZ05,20810,0,5216.01738,0,5216.01738,1093213.491,North East,Punggol,235,SESZ05,3,10
217,227,0,226,227,0,226,227,12,YIO CHU KANG EAST,AMSZ12,4030,0,5592.191081,0,5592.191081,1861872.042,North East,Changi,12,AMSZ12,3,6
218,228,11,227,228,14,227,228,10,YIO CHU KANG,AMSZ10,40,387782,4533.218364,470509,4533.218364,909418.5677,North East,Changi,10,AMSZ10,3,6
219,229,1,228,229,1,228,229,6,LOYANG WEST,PRSZ06,210,3413.070068,6203.002065,3413.070068,6203.002065,2114789.488,Changi,Changi,191,PRSZ06,6,8
220,230,151,229,230,174,229,230,8,TAGORE,AMSZ08,8130,442603,8162.600174,497375,8162.600174,3334192.442,North East,Changi,8,AMSZ08,3,6
221,231,1,230,231,1,230,231,7,LORONG AH SOO,HGSZ07,32970,3461.879883,5438.211022,3461.879883,5438.211022,1515533.891,North East,East Coast,111,HGSZ07,3,3
222,232,0,231,232,0,231,232,8,FLORA DRIVE,PRSZ08,14510,0,3956.615777,0,3956.615777,944998.4489,Changi,Changi,193,PRSZ08,6,8
223,233,0,232,233,0,232,233,5,HILLVIEW,BKSZ05,18780,0,6673.934004,0,6673.934004,1990788.397,West Coast,Jurong,25,BKSZ05,2,2
224,235,0,234,235,0,234,235,2,PAYA LEBAR EAST,PLSZ02,10,0,7470.111952,0,7470.111952,2259239.74,Changi,Changi,177,PLSZ02,6,8
225,236,82,235,236,100,235,236,1,UPPER THOMSON,BSSZ01,30630,462789,10082.0753,651521,10082.0753,3860324.994,North East,Changi,58,BSSZ01,3,6
226,237,0,236,237,0,236,237,2,HONG KAH NORTH,BKSZ02,27420,0,3842.99403,0,3842.99403,859179.1801,West Coast,Jurong,22,BKSZ02,2,2
227,238,0,237,238,0,237,238,4,TOWNSVILLE,AMSZ04,22690,0,3313.317413,0,3313.317413,546403.8635,North East,Changi,4,AMSZ04,3,6
228,239,0,238,239,0,238,239,6,KOVAN,HGSZ06,25900,0,5644.28775,0,5644.28775,1948613.205,North East,East Coast,110,HGSZ06,3,3
229,240,5,239,240,6,239,240,3,CHONG BOON,AMSZ03,26740,337687,4710.53873,403163,4710.53873,1078622.324,North East,Changi,3,AMSZ03,3,6
230,241,0,240,241,0,240,241,5,SHANGRI-LA,AMSZ05,16800,0,4019.229526,0,4019.229526,687930.097,North East,Changi,5,AMSZ05,3,6
231,242,68,241,242,83,241,242,4,SERANGOON GARDEN,SGSZ04,38120,25040.19922,6972.419094,30235.80078,6972.419094,3023148.981,North East,Changi,241,SGSZ04,3,6
232,243,3,242,243,3,242,243,1,HOUGANG CENTRAL,HGSZ01,4760,40086.5,2759.815466,40086.5,2759.815466,441733.4402,North East,Punggol,105,HGSZ01,3,10
233,244,0,243,244,0,243,244,7,LOYANG EAST,PRSZ07,2150,0,4185.462898,0,4185.462898,970068.0722,Changi,Changi,192,PRSZ07,6,8
234,245,0,244,245,0,244,245,6,DAIRY FARM,BPSZ06,6520,0,4814.195375,0,4814.195375,1235901.752,Choa Chu Kang,Choa Chu Kang,56,BPSZ06,11,7
235,246,0,245,246,0,245,246,5,PASIR RIS DRIVE,PRSZ05,56970,0,5311.060366,0,5311.060366,1639669.017,Changi,Changi,190,PRSZ05,6,8
236,247,0,246,247,6,246,247,1,TAMPINES NORTH,TMSZ01,0,0,7128.355391,499727,7128.355391,2543106.634,Changi,Changi,258,TMSZ01,6,8
237,248,0,247,248,0,247,248,2,CHENG SAN,AMSZ02,28350,0,4218.958062,0,4218.958062,955710.1887,North East,Changi,2,AMSZ02,3,6
238,249,1,248,249,1,248,249,1,ANG MO KIO TOWN CENTRE,AMSZ01,4940,48250.10156,2642.208777,48250.10156,2642.208777,316882.0172,North East,Changi,1,AMSZ01,3,6
239,250,0,249,250,0,249,250,6,KEBUN BAHRU,AMSZ06,22620,0,4288.194231,0,4288.194231,1046417,North East,Changi,6,AMSZ06,3,6
240,251,10,250,251,12,250,251,2,SERANGOON NORTH IND ESTATE,SGSZ02,20,229804,4299.211199,253507,4299.211199,921430.9488,North East,Changi,239,SGSZ02,3,6
241,252,0,251,252,0,251,252,1,TENGAH,THSZ01,10,0,12808.87653,0,12808.87653,7370557.682,Choa Chu Kang,Jurong,257,THSZ01,11,2
242,253,17,252,253,26,252,253,3,SERANGOON NORTH,SGSZ03,16660,324095,3610.732408,427768,3610.732408,684704.3005,North East,Changi,240,SGSZ03,3,6
243,254,1,253,254,2,253,254,3,PASIR RIS CENTRAL,PRSZ03,28670,5487.689941,5273.239002,11763.2998,5273.239002,1511487.384,Changi,Changi,188,PRSZ03,6,8
244,255,0,254,255,0,254,255,1,GOMBAK,BKSZ01,10110,0,7921.557211,0,7921.557211,2459098.265,West Coast,Choa Chu Kang,21,BKSZ01,2,7
245,256,0,255,256,0,255,256,5,PLAB,PLSZ05,0,0,11966.01676,0,11966.01676,7034806.472,East Coast,East Coast,180,PLSZ05,4,3
246,257,0,256,257,0,256,257,1,KRANJI,SKSZ01,20,0,7899.952343,0,7899.952343,3652031.033,Woodlands,Choa Chu Kang,246,SKSZ01,9,7
247,258,0,257,258,0,257,258,4,PASIR RIS PARK,PRSZ04,6680,0,8533.963998,0,8533.963998,1719704.595,Changi,Changi,189,PRSZ04,6,8
248,259,1,258,259,1,258,259,5,CHOA CHU KANG NORTH,CKSZ05,33490,14509.5,4552.314746,14509.5,4552.314746,1088638.014,Choa Chu Kang,Choa Chu Kang,77,CKSZ05,11,7
249,260,0,259,260,0,259,260,2,RIVERVALE,SESZ02,61380,0,6315.954417,0,6315.954417,1569034.784,North East,Punggol,232,SESZ02,3,10
250,261,0,260,261,0,260,261,7,SENGKANG WEST,SESZ07,10,0,5991.020008,0,5991.020008,1670029.856,North East,Punggol,237,SESZ07,3,10
251,262,22,261,262,45,261,262,6,FERNVALE,SESZ06,49770,31264.59961,6491.767944,37091.30078,6491.767944,2391082.765,North East,Punggol,236,SESZ06,3,10
252,263,0,262,263,1,262,263,4,PUNGGOL FIELD,PGSZ04,48440,0,5229.116114,8161.680176,5229.116114,1378710.536,Punggol,Punggol,174,PGSZ04,12,10
253,264,1,263,264,2,263,264,6,YEW TEE,CKSZ06,42280,1626.119995,3715.39423,7252.72998,3715.39423,923214.7487,Choa Chu Kang,Choa Chu Kang,78,CKSZ06,11,7
254,265,0,264,265,0,264,265,1,PASIR RIS WAFER FAB PARK,PRSZ01,30,0,10606.6469,0,10606.6469,5325421.575,Changi,Changi,186,PRSZ01,6,8
255,266,0,265,266,1,265,266,3,MATILDA,PGSZ03,42490,0,5361.915964,7990.149902,5361.915964,1418284.255,Punggol,Punggol,173,PGSZ03,12,10
256,267,0,266,267,2,266,267,5,WATERWAY EAST,PGSZ05,40860,0,5391.065107,13270,5391.065107,1489246.883,Punggol,Punggol,175,PGSZ05,12,10
257,268,1,267,268,1,267,268,3,GALI BATU,SKSZ03,30,11517.2998,9036.682771,11517.2998,9036.682771,5186128.077,Woodlands,Choa Chu Kang,248,SKSZ03,9,7
258,269,1,268,269,2,268,269,3,CHANGI AIRPORT,CHSZ03,0,51909,28163.22827,55312.39844,28163.22827,35096028.59,Changi,Changi,72,CHSZ03,6,8
259,270,0,269,270,0,269,270,11,YIO CHU KANG NORTH,AMSZ11,0,0,6445.242982,0,6445.242982,1463278.179,North East,Changi,11,AMSZ11,3,6
260,271,2,270,271,2,270,271,1,CHANGI POINT,CHSZ01,740,30802.5,4897.482363,30802.5,4897.482363,995944.7654,Changi,Changi,70,CHSZ01,6,8
261,272,0,271,272,3,271,272,3,SENGKANG TOWN CENTRE,SESZ03,60770,0,5216.400502,50584.30078,5216.400502,1455507.859,North East,Punggol,233,SESZ03,3,10
262,273,0,272,273,0,272,273,4,ANCHORVALE,SESZ04,39370,0,5112.461787,0,5112.461787,1499108.626,North East,Punggol,234,SESZ04,3,10
263,275,0,274,275,0,274,275,4,YISHUN SOUTH,YSSZ04,38240,0,5781.588051,0,5781.588051,1340167.988,North,Woodlands,298,YSSZ04,8,5
264,276,0,275,276,0,275,276,5,LOWER SELETAR,YSSZ05,10330,0,15209.76279,0,15209.76279,8453312.38,North,Woodlands,299,YSSZ05,8,5
265,277,2,276,277,2,276,277,1,NORTHSHORE,PGSZ01,290,21883,5355.637118,21883,5355.637118,1360000.631,Punggol,Punggol,171,PGSZ01,12,10
266,278,0,277,278,0,277,278,3,MANDAI ESTATE,MDSZ03,2130,0,1633.708416,0,1633.708416,143137.9411,North,Woodlands,146,MDSZ03,8,5
267,279,2,278,279,5,278,279,1,YISHUN CENTRAL,YSSZ01,1420,10430.7002,2549.643182,15162.90039,2549.643182,436368.5338,North,Woodlands,295,YSSZ01,8,5
268,281,1,280,281,1,280,281,2,TURF CLUB,SKSZ02,680,17793.09961,7665.676019,17793.09961,7665.676019,3291405.506,Woodlands,Choa Chu Kang,247,SKSZ02,9,7
269,282,0,281,282,2,281,282,4,WOODLANDS SOUTH,WDSZ04,38800,0,5211.384435,198464,5211.384435,1576001.476,Woodlands,Woodlands,289,WDSZ04,9,5
270,283,0,282,283,0,282,283,5,WOODGROVE,WDSZ05,35550,0,6284.599725,0,6284.599725,1665469.26,Woodlands,Woodlands,290,WDSZ05,9,5
271,284,0,283,284,1,283,284,3,YISHUN EAST,YSSZ03,57540,0,5945.704099,5282.040039,5945.704099,1767092.896,North,Woodlands,297,YSSZ03,8,5
272,285,1,284,285,17,284,285,1,WESTERN WATER CATCHMENT,WCSZ01,710,31466.40039,44305.66057,554586,44305.66057,69748298.79,Jurong,Choa Chu Kang,285,WCSZ01,7,7
273,287,0,286,287,1,286,287,9,YISHUN WEST,YSSZ09,57470,0,5318.579266,2043.540039,5318.579266,1517767.389,North,Woodlands,303,YSSZ09,8,5
274,288,5,287,288,9,287,288,1,WOODLANDS REGIONAL CENTRE,WDSZ01,10,186360,3254.343275,272013,3254.343275,595652.1439,Woodlands,Woodlands,286,WDSZ01,9,5
275,289,1,288,289,1,288,289,5,RESERVOIR VIEW,SKSZ05,20,2912.840088,10399.42448,2912.840088,10399.42448,3284130.42,Woodlands,Choa Chu Kang,250,SKSZ05,9,7
276,290,4,289,290,5,289,290,3,WOODLANDS EAST,WDSZ03,93370,278477,6603.608301,310807,6603.608301,2553463.724,Woodlands,Woodlands,288,WDSZ03,9,5
277,291,1,290,291,6,290,291,3,SEMBAWANG CENTRAL,SBSZ03,29810,92409.29688,3955.117637,285611,3955.117637,962437.4031,North,Woodlands,225,SBSZ03,8,5
278,292,0,291,292,0,291,292,7,GREENWOOD PARK,WDSZ07,60,0,4620.865567,0,4620.865567,1281296.51,Woodlands,Woodlands,292,WDSZ07,9,5
279,293,0,292,293,0,292,293,1,SEMBAWANG EAST,SBSZ01,1580,0,3494.973413,0,3494.973413,758123.4599,North,Woodlands,223,SBSZ01,8,5
280,294,0,293,294,0,293,294,8,SENOKO WEST,WDSZ08,10,0,3966.740969,0,3966.740969,905921.1179,Woodlands,Woodlands,293,WDSZ08,9,5
281,296,1,295,296,1,295,296,5,ADMIRALTY,SBSZ05,14480,3627.77002,4534.251888,3627.77002,4534.251888,1261648.748,North,Woodlands,227,SBSZ05,8,5
282,297,0,296,297,0,296,297,1,LIM CHU KANG,LKSZ01,110,0,18733.83625,0,18733.83625,17494884.18,Choa Chu Kang,Choa Chu Kang,143,LKSZ01,11,7
283,299,1,298,299,3,298,299,9,SENOKO SOUTH,SBSZ09,20,2595.129883,5262.562765,7846.700195,5262.562765,1741957.363,Woodlands,Woodlands,231,SBSZ09,9,5
284,300,2,299,300,4,299,300,4,SEMBAWANG NORTH,SBSZ04,26970,246300,5519.934845,250541,5519.934845,1394865.684,North,Woodlands,226,SBSZ04,8,5
285,303,0,302,303,0,302,303,2,MANDAI EAST,MDSZ02,0,0,11572.52954,0,11572.52954,7235809.441,North,Woodlands,145,MDSZ02,8,5
286,305,10,304,305,22,304,305,2,NORTHLAND,YSSZ02,29920,518738,5057.119921,699154,5057.119921,1511000.363,North,Woodlands,296,YSSZ02,8,5
287,306,0,305,306,0,305,306,2,MIDVIEW,WDSZ02,36790,0,4159.20144,0,4159.20144,936415.5261,Woodlands,Woodlands,287,WDSZ02,9,5
288,307,0,306,307,0,306,307,6,WOODLANDS WEST,WDSZ06,32150,0,5929.644687,0,5929.644687,1648629.909,Woodlands,Woodlands,291,WDSZ06,9,5
289,308,0,307,308,6,307,308,2,SEMBAWANG SPRINGS,SBSZ02,5100,0,4212.042247,162794,4212.042247,1099394.72,North,Woodlands,224,SBSZ02,8,5
290,309,0,308,309,0,308,309,6,SPRINGLEAF,YSSZ06,4070,0,6912.80078,0,6912.80078,2209210.705,North East,Changi,300,YSSZ06,3,6
291,310,0,309,310,0,309,310,2,PUNGGOL TOWN CENTRE,PGSZ02,14560,0,4896.767508,0,4896.767508,1264384.789,Punggol,Punggol,172,PGSZ02,12,10
292,311,0,310,311,0,310,311,7,NEE SOON,YSSZ07,890,0,7074.070778,0,7074.070778,2206695.555,North,Woodlands,301,YSSZ07,8,5
293,313,0,312,313,0,312,313,1,CENTRAL WATER CATCHMENT,CCSZ01,0,0,30538.24618,0,30538.24618,37147854.46,North East,Changi,69,CCSZ01,3,6
294,314,0,313,314,0,313,314,4,SELETAR,SLSZ04,190,0,8487.274476,0,8487.274476,3916069.337,North,Punggol,252,SLSZ04,8,10
295,315,1,314,315,1,314,315,4,PANG SUA,SKSZ04,20,1861.290039,7561.990107,1861.290039,7561.990107,2175380.058,Woodlands,Choa Chu Kang,249,SKSZ04,9,7
296,316,0,315,316,1,315,316,1,SELETAR AEROSPACE PARK,SLSZ01,20,0,8946.560465,6170.939941,8946.560465,3621841.183,North,Punggol,251,SLSZ01,8,10
297,317,0,316,317,0,316,317,8,KHATIB,YSSZ08,10570,0,4956.145735,0,4956.145735,1432913.062,North,Woodlands,302,YSSZ08,8,5
298,318,0,317,318,0,317,318,1,MANDAI WEST,MDSZ01,0,0,9630.62719,0,9630.62719,4387133.117,North East,Choa Chu Kang,144,MDSZ01,3,7
299,320,6,319,320,7,319,320,9,NORTH COAST,WDSZ09,13440,66135.39844,10847.88198,67609.39844,10847.88198,2450783.607,Woodlands,Woodlands,294,WDSZ09,9,5
300,321,0,320,321,0,320,321,6,SEMBAWANG STRAITS,SBSZ06,1760,0,7217.388372,0,7217.388372,1540733.675,North,Woodlands,228,SBSZ06,8,5
301,322,0,321,322,0,321,322,7,THE WHARVES,SBSZ07,0,0,11828.87772,0,11828.87772,1635808.129,North,Woodlands,229,SBSZ07,8,5
302,323,0,322,323,2,322,323,8,SENOKO NORTH,SBSZ08,20,0,7392.128851,6714.930176,7392.128851,2241386.619,North,Woodlands,230,SBSZ08,8,5
303,13,0,12,13,0,12,13,1,MARINA EAST,MESZ01,0,0,6470.949643,0,6470.949643,1844060.675, , ,0, ,0,0
304,16,0,15,16,0,15,16,1,JURONG ISLAND AND BUKOM,WISZ01,10,0,68083.93647,0,68083.93647,36707720.92, , ,0, ,0,0
305,17,0,16,17,0,16,17,3,SUDONG,WISZ03,0,0,24759.0658,0,24759.0658,4207271.094, , ,0, ,0,0
306,18,0,17,18,0,17,18,2,SEMAKAU,WISZ02,0,0,18703.68114,0,18703.68114,4963787.104, , ,0, ,0,0
307,19,0,18,19,0,18,19,2,SOUTHERN GROUP,SISZ02,0,0,25626.97719,0,25626.97719,2206319.456, , ,0, ,0,0
308,44,0,43,44,0,43,44,5,MARINA EAST (MP),MPSZ05,0,0,6657.151393,0,6657.151393,1590339.796, , ,0, ,0,0
309,50,0,49,50,0,49,50,4,EAST COAST,MPSZ04,0,0,5333.008671,0,5333.008671,591778.9997, , ,0, ,0,0
310,73,15,72,73,17,72,73,4,CAIRNHILL,NTSZ04,3520,326176,3853.900423,370006,3853.900423,452471.8318, , ,0, ,0,0
311,98,3,97,98,3,97,98,7,MOUNT EMILY,RCSZ07,1190,96194.60156,2301.2303,96194.60156,2301.2303,193992.3453, , ,0, ,0,0
312,234,0,233,234,0,233,234,1,CHANGI BAY,CBSZ01,0,0,18731.55997,0,18731.55997,1829821.69, , ,0, ,0,0
313,274,0,273,274,0,273,274,1,LORONG HALUS NORTH,SESZ01,0,0,3930.096752,0,3930.096752,924866.0165, , ,0, ,0,0
314,280,0,279,280,0,279,280,3,PULAU PUNGGOL TIMOR,SLSZ03,0,0,4817.803706,0,4817.803706,1259743.113, , ,0, ,0,0
315,286,0,285,286,0,285,286,2,PULAU PUNGGOL BARAT,SLSZ02,0,0,6251.207796,0,6251.207796,2050051.225, , ,0, ,0,0
316,295,0,294,295,0,294,295,4,PULAU SELETAR,SMSZ04,0,0,5466.048269,0,5466.048269,1611278.675, , ,0, ,0,0
317,298,0,297,298,0,297,298,1,SIMPANG NORTH,SMSZ01,0,0,9071.752449,0,9071.752449,3450455.359, , ,0, ,0,0
318,301,0,300,301,0,300,301,2,TANJONG IRAU,SMSZ02,0,0,4322.195234,0,4322.195234,1074375.121, , ,0, ,0,0
319,302,0,301,302,0,301,302,1,NORTH-EASTERN ISLANDS,NESZ01,50,0,62436.23535,0,62436.23535,67250562.96, , ,0, ,0,0
320,304,0,303,304,0,303,304,3,SIMPANG SOUTH,SMSZ03,0,0,7166.913662,0,7166.913662,2147082.067, , ,0, ,0,0
321,312,0,311,312,1,311,312,6,PUNGGOL CANAL,PGSZ06,0,0,6279.464843,224075,6279.464843,1265919.304, , ,0, ,0,0
322,319,0,318,319,0,318,319,7,CONEY ISLAND,PGSZ07,0,0,5670.137057,0,5670.137057,1200804.563, , ,0, ,0,0
