"","V1","V2","V3"
"214","RCSZ06","5","1"
"215","RCSZ08","5","1"
"216","RCSZ09","5","1"
"217","RCSZ10","1","1"
"218","RVSZ01","1","1"
"219","RVSZ02","1","1"
"220","RVSZ03","1","1"
"221","RVSZ04","1","1"
"222","RVSZ05","1","1"
"223","SBSZ01","8","5"
"224","SBSZ02","8","5"
"225","SBSZ03","8","5"
"226","SBSZ04","8","5"
"227","SBSZ05","8","5"
"228","SBSZ06","8","5"
"229","SBSZ07","8","5"
"230","SBSZ08","8","5"
"231","SBSZ09","9","5"
"232","SESZ02","3","10"
"233","SESZ03","3","10"
"234","SESZ04","3","10"
"235","SESZ05","3","10"
"236","SESZ06","3","10"
"237","SESZ07","3","10"
"238","SGSZ01","3","6"
"239","SGSZ02","3","6"
"240","SGSZ03","3","6"
"241","SGSZ04","3","6"
"242","SGSZ05","3","3"
"243","SGSZ06","3","3"
"244","SGSZ07","3","3"
"245","SISZ01","1","1"
"246","SKSZ01","9","7"
"247","SKSZ02","9","7"
"248","SKSZ03","9","7"
"249","SKSZ04","9","7"
"250","SKSZ05","9","7"
"251","SLSZ01","8","10"
"252","SLSZ04","8","10"
"253","SRSZ01","1","1"
"254","SRSZ02","1","1"
"255","SRSZ03","1","1"
"256","SVSZ01","1","1"
"257","THSZ01","11","2"
"258","TMSZ01","6","8"
"259","TMSZ02","6","8"
"260","TMSZ03","6","8"
"261","TMSZ04","6","8"
"262","TMSZ05","6","8"
"263","TNSZ01","1","1"
"264","TNSZ02","1","1"
"265","TNSZ03","1","4"
"266","TNSZ04","1","4"
"267","TPSZ01","5","9"
"268","TPSZ02","5","9"
"269","TPSZ03","5","9"
"270","TPSZ04","5","9"
"271","TPSZ05","5","9"
"272","TPSZ06","5","9"
"273","TPSZ07","5","9"
"274","TPSZ08","5","3"
"275","TPSZ09","5","3"
"276","TPSZ10","4","3"
"277","TPSZ11","5","3"
"278","TPSZ12","4","3"
"279","TSSZ01","10","11"
"280","TSSZ02","10","11"
"281","TSSZ03","10","11"
"282","TSSZ04","10","11"
"283","TSSZ05","10","11"
"284","TSSZ06","10","11"
"285","WCSZ01","7","7"
"286","WDSZ01","9","5"
"287","WDSZ02","9","5"
"288","WDSZ03","9","5"
"289","WDSZ04","9","5"
"290","WDSZ05","9","5"
"291","WDSZ06","9","5"
"292","WDSZ07","9","5"
"293","WDSZ08","9","5"
"294","WDSZ09","9","5"
"295","YSSZ01","8","5"
"296","YSSZ02","8","5"
"297","YSSZ03","8","5"
"298","YSSZ04","8","5"
"299","YSSZ05","8","5"
"300","YSSZ06","3","6"
"301","YSSZ07","8","5"
"302","YSSZ08","8","5"
"303","YSSZ09","8","5"
