"","V1","V2"
"247","SKSZ02","9"
"248","SKSZ03","9"
"249","SKSZ04","9"
"250","SKSZ05","9"
"251","SLSZ01","8"
"252","SLSZ04","8"
"253","SRSZ01","1"
"254","SRSZ02","1"
"255","SRSZ03","1"
"256","SVSZ01","1"
"257","THSZ01","11"
"258","TMSZ01","6"
"259","TMSZ02","6"
"260","TMSZ03","6"
"261","TMSZ04","6"
"262","TMSZ05","6"
"263","TNSZ01","1"
"264","TNSZ02","1"
"265","TNSZ03","1"
"266","TNSZ04","1"
"267","TPSZ01","5"
"268","TPSZ02","5"
"269","TPSZ03","5"
"270","TPSZ04","5"
"271","TPSZ05","5"
"272","TPSZ06","5"
"273","TPSZ07","5"
"274","TPSZ08","5"
"275","TPSZ09","5"
"276","TPSZ10","4"
"277","TPSZ11","5"
"278","TPSZ12","4"
"279","TSSZ01","10"
"280","TSSZ02","10"
"281","TSSZ03","10"
"282","TSSZ04","10"
"283","TSSZ05","10"
"284","TSSZ06","10"
"285","WCSZ01","7"
"286","WDSZ01","9"
"287","WDSZ02","9"
"288","WDSZ03","9"
"289","WDSZ04","9"
"290","WDSZ05","9"
"291","WDSZ06","9"
"292","WDSZ07","9"
"293","WDSZ08","9"
"294","WDSZ09","9"
"295","YSSZ01","8"
"296","YSSZ02","8"
"297","YSSZ03","8"
"298","YSSZ04","8"
"299","YSSZ05","8"
"300","YSSZ06","3"
"301","YSSZ07","8"
"302","YSSZ08","8"
"303","YSSZ09","8"
